"salchan1_name","chan3_name","chan2_name","chan1_name","sales1_name","dma1_name"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","TRI CITIES-TN"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","TRI-STATE-NY/NJ/CT"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","TUCSON-AZ"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","TULSA-OK"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","TWIN FALLS-ID"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","TYLER/LONGVIEW-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","UTICA-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","VICTORIA-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WACO/TEMPLE/BRYAN-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WASHINGTON D.C."
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WATERTOWN-NY"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WAUSAU-WI"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WEST PALM BEACH-FL"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WHEELING-WV"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WICHITA FALLS-TX"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WICHITA-KS"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WILKES-BARRE-PA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","WILMINGTON-NC"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","YAKIMA-WA"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","YOUNGSTOWN-OH"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","YUMA-AZ"
"GM","Desktop","Brand","Search PLA","Existing Non-Loyal NKC","ZANESVILLE-OH"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ABILENE-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ALBANY-GA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ALBANY-NY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ALBUQUERQUE/SANTA FE-NM"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ALEXANDRIA-LA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ALPENA-MI"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","AMARILLO-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ANCHORAGE-AK"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","ATLANTA-GA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","AUGUSTA-GA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","AUSTIN-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BAKERSFIELD-CA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BALTIMORE-MD"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BANGOR-ME"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BATON ROUGE-LA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BEAUMONT/PORT ARTHUR-TX"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BEND-OR"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BILLINGS-MT"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BILOXI/GULFPORT-MS"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BINGHAMTON-NY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BIRMINGHAM-AL"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BLUEFIELD-WV"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BOISE-ID"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BOSTON-MA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BOWLING GREEN-KY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BUFFALO-NY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BURLINGTON-PLATTSBURGH-VT"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","BUTTE/BOZEMAN-MT"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CASPER/RIVERTON-WY"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CEDAR RAPIDS-IA"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHAMPAIGN/SPRINGFIELD-IL"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHARLESTON-SC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHARLESTON/HUNTINGTON-WV"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHARLOTTE-NC"
"GM","Desktop","Brand","Search PLA","New Non-Loyal KC","CHARLOTTESVILLE"
