dma1_name,sales1_name,chan1_name,chan2_name,chan3_name,all_name,max,cpp,hl,hrf,wks,beta,curvegroup_name,factor_1
DETROIT-MI,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,5,0.15,1,10487.5957,weekly,186.1942727
DETROIT-MI,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,0.6,0.05,1,98410.88056,weekly,129.1854755
DETROIT-MI,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,1,0.75,1,76160.18131,weekly,107.5325297
DETROIT-MI,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,0.6,0.75,1,150471.4794,weekly,104.5031986
DETROIT-MI,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,1,0.75,1,184187.2238,weekly,127.7486517
DETROIT-MI,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,0.6,0.6,1,263684.6871,weekly,126.4970259
SEATTLE-WA,New Loyal KC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,5,0.75,1,568.2944254,weekly,176.874958
SEATTLE-WA,New Loyal NKC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,5,0.15,1,2518.122123,weekly,126.5436551
SEATTLE-WA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,5,0.15,1,4314.487143,weekly,184.2047449
SEATTLE-WA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,0.6,0.05,1,62679.90849,weekly,134.7664159
SEATTLE-WA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,1,0.75,1,15991.81789,weekly,104.3095256
SEATTLE-WA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,1,0.75,1,23091.8912,weekly,127.1102931
SEATTLE-WA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,0.6,0.75,1,52589.02508,weekly,98.47274545
SEATTLE-WA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4930741.952,0.027037825,0.6,0.6,1,90977.87934,weekly,122.7271255
LOS ANGELES-CA,New Loyal KC,Display,Display,Display,overall,92147531,0.002842639,1,0.75,1,3045.726625,weekly,184.2146852
LOS ANGELES-CA,New Loyal NKC,Display,Display,Display,overall,92147531,0.002842639,9,0.75,1,2975.060139,weekly,117.9622877
LOS ANGELES-CA,Existing Non-Loyal NKC,Display,Display,Display,overall,92147531,0.002842639,0.3,0.05,1,93313.19131,weekly,110.9638175
LOS ANGELES-CA,New Non-Loyal NKC,Display,Display,Display,overall,92147531,0.002842639,1,0.45,1,19946.84189,weekly,149.4099278
LOS ANGELES-CA,Existing Loyal NKC,Display,Display,Display,overall,92147531,0.002842639,0,0.75,1,121418.3127,weekly,97.50095475
LOS ANGELES-CA,Existing Non-Loyal KC,Display,Display,Display,overall,92147531,0.002842639,1,0.15,1,406244.1107,weekly,121.3662748
LOS ANGELES-CA,Existing Loyal KC,Display,Display,Display,overall,92147531,0.002842639,0,0.05,1,6718655.705,weekly,118.0295792
MINNEAPOLIS-MN,New Loyal KC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,5,0.75,1,284.1949864,weekly,192.8282201
MINNEAPOLIS-MN,New Loyal NKC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,5,0.15,1,1277.716243,weekly,115.5512859
MINNEAPOLIS-MN,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,5,0.15,1,10536.09059,weekly,185.8184651
MINNEAPOLIS-MN,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,0.6,0.05,1,85761.13572,weekly,137.7814098
MINNEAPOLIS-MN,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,1,0.75,1,67486.50122,weekly,103.9785188
MINNEAPOLIS-MN,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,0.6,0.75,1,74372.91375,weekly,102.0031044
MINNEAPOLIS-MN,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,1,0.75,1,180908.5394,weekly,126.3476633
MINNEAPOLIS-MN,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4611502.065,0.027037825,0.6,0.6,1,222077.6443,weekly,125.2483157
TAMPA/ST. PETE/LAKELAND-FL,New Loyal KC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,5,0.75,1,488.6979475,weekly,185.8754594
TAMPA/ST. PETE/LAKELAND-FL,New Loyal NKC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,5,0.15,1,1085.688364,weekly,118.6496269
TAMPA/ST. PETE/LAKELAND-FL,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,5,0.15,1,7010.075331,weekly,179.2963276
TAMPA/ST. PETE/LAKELAND-FL,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,0.6,0.05,1,61858.17945,weekly,131.7889117
TAMPA/ST. PETE/LAKELAND-FL,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,1,0.75,1,26918.36831,weekly,105.2920596
TAMPA/ST. PETE/LAKELAND-FL,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,0.6,0.75,1,29722.84042,weekly,101.5001762
TAMPA/ST. PETE/LAKELAND-FL,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,1,0.75,1,57442.60869,weekly,127.0213234
TAMPA/ST. PETE/LAKELAND-FL,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4498858.186,0.027037825,0.6,0.6,1,73815.31361,weekly,123.4204903
MIAMI/FT. LAUDERDALE-FL,New Loyal KC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,5,0.75,1,427.4945572,weekly,207.8762859
MIAMI/FT. LAUDERDALE-FL,New Loyal NKC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,5,0.15,1,857.0142588,weekly,115.9323225
MIAMI/FT. LAUDERDALE-FL,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,5,0.15,1,5747.177061,weekly,177.8093852
MIAMI/FT. LAUDERDALE-FL,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,0.6,0.05,1,49122.69575,weekly,130.2553173
MIAMI/FT. LAUDERDALE-FL,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,1,0.75,1,15414.47483,weekly,101.5341492
MIAMI/FT. LAUDERDALE-FL,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,0.6,0.75,1,16781.91129,weekly,94.60175964
MIAMI/FT. LAUDERDALE-FL,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,1,0.75,1,38239.69906,weekly,119.2273365
MIAMI/FT. LAUDERDALE-FL,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4437857.398,0.027037825,0.6,0.6,1,47254.10697,weekly,114.4827986
SAN FRANCISCO-CA,New Loyal KC,Display,Display,Display,overall,59551366,0.00433901,1,0.75,1,996.0641198,weekly,182.328063
SAN FRANCISCO-CA,New Loyal NKC,Display,Display,Display,overall,59551366,0.00433901,9,0.75,1,1215.391912,weekly,128.3107102
SAN FRANCISCO-CA,Existing Non-Loyal NKC,Display,Display,Display,overall,59551366,0.00433901,0.3,0.05,1,54808.05253,weekly,110.4981476
SAN FRANCISCO-CA,New Non-Loyal NKC,Display,Display,Display,overall,59551366,0.00433901,1,0.45,1,9206.06451,weekly,152.3285896
SAN FRANCISCO-CA,Existing Loyal NKC,Display,Display,Display,overall,59551366,0.00433901,0,0.75,1,42782.55198,weekly,101.7265371
SAN FRANCISCO-CA,Existing Non-Loyal KC,Display,Display,Display,overall,59551366,0.00433901,1,0.15,1,191493.6239,weekly,119.7914466
SAN FRANCISCO-CA,Existing Loyal KC,Display,Display,Display,overall,59551366,0.00433901,0,0.05,1,1433195.472,weekly,117.4054609
SACRAMENTO-CA,New Loyal KC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,5,0.75,1,1062.663196,weekly,178.5652223
SACRAMENTO-CA,New Loyal NKC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,5,0.15,1,2581.637024,weekly,116.0059136
SACRAMENTO-CA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,5,0.15,1,8815.809072,weekly,186.82707
SACRAMENTO-CA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,0.6,0.05,1,58581.86371,weekly,150.716608
SACRAMENTO-CA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,1,0.75,1,13563.93738,weekly,113.2380653
SACRAMENTO-CA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,1,0.75,1,41229.57576,weekly,124.0196798
SACRAMENTO-CA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,0.6,0.75,1,58098.09783,weekly,99.86566382
SACRAMENTO-CA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4148601.402,0.027037825,0.6,0.6,1,232317.4855,weekly,120.8173742
DENVER-CO,New Loyal KC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,5,0.75,1,492.9851306,weekly,197.9913195
DENVER-CO,New Loyal NKC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,5,0.15,1,1361.300574,weekly,121.7926482
DENVER-CO,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,5,0.15,1,8838.068425,weekly,195.5446213
DENVER-CO,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,0.6,0.05,1,95206.97058,weekly,140.5972456
DENVER-CO,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,0.6,0.75,1,62529.40657,weekly,109.7864646
DENVER-CO,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,1,0.75,1,65886.86504,weekly,111.3306541
DENVER-CO,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,1,0.75,1,139743.4383,weekly,137.2858158
DENVER-CO,Existing Loyal KC,Network TV,Network TV,Network TV,overall,4118674.044,0.027037825,0.6,0.6,1,174788.7356,weekly,134.5889298
CLEVELAND-OH,New Loyal KC,Network TV,Network TV,Network TV,overall,3973004.817,0.027037825,5,0.75,1,608.355116,weekly,184.1664816
CLEVELAND-OH,New Loyal NKC,Network TV,Network TV,Network TV,overall,3973004.817,0.027037825,5,0.15,1,1105.194106,weekly,106.8579255
CLEVELAND-OH,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,3973004.817,0.027037825,5,0.15,1,8536.547868,weekly,178.4430922
CLEVELAND-OH,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,3973004.817,0.027037825,0.6,0.05,1,84499.04676,weekly,124.6518596
