dma1_name,sales1_name,chan3_name,chan2_name,chan1_name,all_name,decomp,spend,max,cps,hl,hrf,wks
TRI-STATE-NY/NJ/CT,Existing Non-Loyal NKC,Display,Display,Display,overall,33590.77571,58450.82577,99540395,0.002870164,0.3,0.05,1
TRI-STATE-NY/NJ/CT,Existing Loyal NKC,Display,Display,Display,overall,60781.79895,58450.82577,99540395,0.002870164,0,0.75,1
TRI-STATE-NY/NJ/CT,Existing Loyal KC,Display,Display,Display,overall,320635.1665,58450.82577,99540395,0.002870164,0,0.05,1
TRI-STATE-NY/NJ/CT,Existing Non-Loyal KC,Display,Display,Display,overall,706358.9181,58450.82577,99540395,0.002870164,1,0.15,1
TRI-STATE-NY/NJ/CT,New Loyal KC,Tab,Sunday,Sunday,overall,272.1788552,55783.20129,3258393.633,0.036772139,0.3,0.05,1
TRI-STATE-NY/NJ/CT,New Non-Loyal KC,Tab,Sunday,Sunday,overall,646.2325137,55783.20129,3258393.633,0.036772139,0,0.75,1
TRI-STATE-NY/NJ/CT,New Loyal NKC,Tab,Sunday,Sunday,overall,977.048733,55783.20129,3258393.633,0.036772139,1,0.05,1
TRI-STATE-NY/NJ/CT,Existing Non-Loyal NKC,Tab,Sunday,Sunday,overall,9349.215489,55783.20129,3258393.633,0.036772139,0.3,0.05,1
TRI-STATE-NY/NJ/CT,New Non-Loyal NKC,Tab,Sunday,Sunday,overall,11165.04522,55783.20129,3258393.633,0.036772139,0,0.3,1
TRI-STATE-NY/NJ/CT,Existing Non-Loyal KC,Tab,Sunday,Sunday,overall,107375.0484,55783.20129,3258393.633,0.036772139,0,0.05,1
TRI-STATE-NY/NJ/CT,Existing Loyal KC,Tab,Sunday,Sunday,overall,156342.2267,55783.20129,3258393.633,0.036772139,0.3,0.75,1
DETROIT-MI,New Loyal KC,Network TV,Network TV,Network TV,overall,743.7469749,46367.65312,4949886.992,0.027037825,5,0.75,1
DETROIT-MI,New Loyal NKC,Network TV,Network TV,Network TV,overall,1176.097529,46367.65312,4949886.992,0.027037825,5,0.15,1
DETROIT-MI,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,6753.707644,46367.65312,4949886.992,0.027037825,5,0.15,1
DETROIT-MI,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,20247.76812,46367.65312,4949886.992,0.027037825,0.6,0.05,1
DETROIT-MI,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,75845.13507,46367.65312,4949886.992,0.027037825,1,0.75,1
DETROIT-MI,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,149622.4554,46367.65312,4949886.992,0.027037825,0.6,0.75,1
DETROIT-MI,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,183425.31,46367.65312,4949886.992,0.027037825,1,0.75,1
DETROIT-MI,Existing Loyal KC,Network TV,Network TV,Network TV,overall,255986.7996,46367.65312,4949886.992,0.027037825,0.6,0.6,1
SEATTLE-WA,New Loyal KC,Network TV,Network TV,Network TV,overall,567.6574403,46188.31356,4930741.952,0.027037825,5,0.75,1
SEATTLE-WA,New Loyal NKC,Network TV,Network TV,Network TV,overall,1621.597658,46188.31356,4930741.952,0.027037825,5,0.15,1
SEATTLE-WA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,2778.404662,46188.31356,4930741.952,0.027037825,5,0.15,1
SEATTLE-WA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,12896.21885,46188.31356,4930741.952,0.027037825,0.6,0.05,1
SEATTLE-WA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,15925.66571,46188.31356,4930741.952,0.027037825,1,0.75,1
SEATTLE-WA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,22996.36867,46188.31356,4930741.952,0.027037825,1,0.75,1
SEATTLE-WA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,52292.29548,46188.31356,4930741.952,0.027037825,0.6,0.75,1
SEATTLE-WA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,88321.91365,46188.31356,4930741.952,0.027037825,0.6,0.6,1
LOS ANGELES-CA,New Loyal KC,Display,Display,Display,overall,2900.907353,46041.69365,92147531,0.002842639,1,0.75,1
LOS ANGELES-CA,New Loyal NKC,Display,Display,Display,overall,2934.71022,46041.69365,92147531,0.002842639,9,0.75,1
LOS ANGELES-CA,Existing Non-Loyal NKC,Display,Display,Display,overall,8774.208652,46041.69365,92147531,0.002842639,0.3,0.05,1
LOS ANGELES-CA,New Non-Loyal NKC,Display,Display,Display,overall,15240.32275,46041.69365,92147531,0.002842639,1,0.45,1
LOS ANGELES-CA,Existing Loyal NKC,Display,Display,Display,overall,110800.3644,46041.69365,92147531,0.002842639,0,0.75,1
LOS ANGELES-CA,Existing Non-Loyal KC,Display,Display,Display,overall,138875.1519,46041.69365,92147531,0.002842639,1,0.15,1
LOS ANGELES-CA,Existing Loyal KC,Display,Display,Display,overall,579239.6439,46041.69365,92147531,0.002842639,0,0.05,1
MINNEAPOLIS-MN,New Loyal KC,Network TV,Network TV,Network TV,overall,283.8764403,43197.86058,4611502.065,0.027037825,5,0.75,1
MINNEAPOLIS-MN,New Loyal NKC,Network TV,Network TV,Network TV,overall,822.8122255,43197.86058,4611502.065,0.027037825,5,0.15,1
MINNEAPOLIS-MN,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,6784.936948,43197.86058,4611502.065,0.027037825,5,0.15,1
MINNEAPOLIS-MN,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,17645.1179,43197.86058,4611502.065,0.027037825,0.6,0.05,1
MINNEAPOLIS-MN,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,67207.33476,43197.86058,4611502.065,0.027037825,1,0.75,1
MINNEAPOLIS-MN,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,73953.27021,43197.86058,4611502.065,0.027037825,0.6,0.75,1
MINNEAPOLIS-MN,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,180160.1883,43197.86058,4611502.065,0.027037825,1,0.75,1
MINNEAPOLIS-MN,Existing Loyal KC,Network TV,Network TV,Network TV,overall,215594.4133,43197.86058,4611502.065,0.027037825,0.6,0.6,1
TAMPA/ST. PETE/LAKELAND-FL,New Loyal KC,Network TV,Network TV,Network TV,overall,488.1501799,42142.67844,4498858.186,0.027037825,5,0.75,1
TAMPA/ST. PETE/LAKELAND-FL,New Loyal NKC,Network TV,Network TV,Network TV,overall,699.1518371,42142.67844,4498858.186,0.027037825,5,0.15,1
TAMPA/ST. PETE/LAKELAND-FL,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,4514.285322,42142.67844,4498858.186,0.027037825,5,0.15,1
TAMPA/ST. PETE/LAKELAND-FL,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,12727.15036,42142.67844,4498858.186,0.027037825,0.6,0.05,1
TAMPA/ST. PETE/LAKELAND-FL,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,26807.01707,42142.67844,4498858.186,0.027037825,1,0.75,1
TAMPA/ST. PETE/LAKELAND-FL,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,29555.13154,42142.67844,4498858.186,0.027037825,0.6,0.75,1
TAMPA/ST. PETE/LAKELAND-FL,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,57204.99006,42142.67844,4498858.186,0.027037825,1,0.75,1
TAMPA/ST. PETE/LAKELAND-FL,Existing Loyal KC,Network TV,Network TV,Network TV,overall,71660.38384,42142.67844,4498858.186,0.027037825,0.6,0.6,1
MIAMI/FT. LAUDERDALE-FL,New Loyal KC,Network TV,Network TV,Network TV,overall,427.0153907,41571.25865,4437857.398,0.027037825,5,0.75,1
MIAMI/FT. LAUDERDALE-FL,New Loyal NKC,Network TV,Network TV,Network TV,overall,551.8923416,41571.25865,4437857.398,0.027037825,5,0.15,1
MIAMI/FT. LAUDERDALE-FL,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,3701.015442,41571.25865,4437857.398,0.027037825,5,0.15,1
MIAMI/FT. LAUDERDALE-FL,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,10106.8596,41571.25865,4437857.398,0.027037825,0.6,0.05,1
MIAMI/FT. LAUDERDALE-FL,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,15350.7109,41571.25865,4437857.398,0.027037825,1,0.75,1
MIAMI/FT. LAUDERDALE-FL,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,16687.22062,41571.25865,4437857.398,0.027037825,0.6,0.75,1
MIAMI/FT. LAUDERDALE-FL,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,38081.5157,41571.25865,4437857.398,0.027037825,1,0.75,1
MIAMI/FT. LAUDERDALE-FL,Existing Loyal KC,Network TV,Network TV,Network TV,overall,45874.59265,41571.25865,4437857.398,0.027037825,0.6,0.6,1
SAN FRANCISCO-CA,New Loyal KC,Display,Display,Display,overall,930.3608022,39833.01538,59551366,0.00433901,1,0.75,1
SAN FRANCISCO-CA,New Loyal NKC,Display,Display,Display,overall,1189.091915,39833.01538,59551366,0.00433901,9,0.75,1
SAN FRANCISCO-CA,Existing Non-Loyal NKC,Display,Display,Display,overall,4548.832888,39833.01538,59551366,0.00433901,0.3,0.05,1
SAN FRANCISCO-CA,New Non-Loyal NKC,Display,Display,Display,overall,6645.902939,39833.01538,59551366,0.00433901,1,0.45,1
SAN FRANCISCO-CA,Existing Loyal NKC,Display,Display,Display,overall,37734.14579,39833.01538,59551366,0.00433901,0,0.75,1
SAN FRANCISCO-CA,Existing Non-Loyal KC,Display,Display,Display,overall,58954.14211,39833.01538,59551366,0.00433901,1,0.15,1
SAN FRANCISCO-CA,Existing Loyal KC,Display,Display,Display,overall,108960.6651,39833.01538,59551366,0.00433901,0,0.05,1
SACRAMENTO-CA,New Loyal KC,Network TV,Network TV,Network TV,overall,1061.472087,38861.67725,4148601.402,0.027037825,5,0.75,1
SACRAMENTO-CA,New Loyal NKC,Network TV,Network TV,Network TV,overall,1662.499413,38861.67725,4148601.402,0.027037825,5,0.15,1
SACRAMENTO-CA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,5677.12551,38861.67725,4148601.402,0.027037825,5,0.15,1
SACRAMENTO-CA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,12053.0574,38861.67725,4148601.402,0.027037825,0.6,0.05,1
SACRAMENTO-CA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,13507.82844,38861.67725,4148601.402,0.027037825,1,0.75,1
SACRAMENTO-CA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,41059.0244,38861.67725,4148601.402,0.027037825,1,0.75,1
SACRAMENTO-CA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,57770.2837,38861.67725,4148601.402,0.027037825,0.6,0.75,1
SACRAMENTO-CA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,225535.3174,38861.67725,4148601.402,0.027037825,0.6,0.6,1
DENVER-CO,New Loyal KC,Network TV,Network TV,Network TV,overall,492.4325576,38581.33523,4118674.044,0.027037825,5,0.75,1
DENVER-CO,New Loyal NKC,Network TV,Network TV,Network TV,overall,876.6381115,38581.33523,4118674.044,0.027037825,5,0.15,1
DENVER-CO,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,5691.459889,38581.33523,4118674.044,0.027037825,5,0.15,1
DENVER-CO,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,19588.57245,38581.33523,4118674.044,0.027037825,0.6,0.05,1
DENVER-CO,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,62176.58912,38581.33523,4118674.044,0.027037825,0.6,0.75,1
DENVER-CO,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,65614.31568,38581.33523,4118674.044,0.027037825,1,0.75,1
DENVER-CO,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,139165.3719,38581.33523,4118674.044,0.027037825,1,0.75,1
DENVER-CO,Existing Loyal KC,Network TV,Network TV,Network TV,overall,169686.0349,38581.33523,4118674.044,0.027037825,0.6,0.6,1
CLEVELAND-OH,New Loyal KC,Network TV,Network TV,Network TV,overall,607.6732281,37216.7909,3973004.817,0.027037825,5,0.75,1
CLEVELAND-OH,New Loyal NKC,Network TV,Network TV,Network TV,overall,711.7129694,37216.7909,3973004.817,0.027037825,5,0.15,1
CLEVELAND-OH,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,5497.289389,37216.7909,3973004.817,0.027037825,5,0.15,1
CLEVELAND-OH,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,17385.44656,37216.7909,3973004.817,0.027037825,0.6,0.05,1
CLEVELAND-OH,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,67421.43536,37216.7909,3973004.817,0.027037825,1,0.75,1
CLEVELAND-OH,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,83481.48303,37216.7909,3973004.817,0.027037825,0.6,0.75,1
CLEVELAND-OH,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,161984.6839,37216.7909,3973004.817,0.027037825,1,0.75,1
CLEVELAND-OH,Existing Loyal KC,Network TV,Network TV,Network TV,overall,209733.4286,37216.7909,3973004.817,0.027037825,0.6,0.6,1
LOS ANGELES-CA,New Loyal KC,Tab,Sunday,Sunday,overall,249.2280952,36347.47398,2128586.584,0.041847046,0.3,0.05,1
LOS ANGELES-CA,New Non-Loyal KC,Tab,Sunday,Sunday,overall,479.2837493,36347.47398,2128586.584,0.041847046,0,0.75,1
LOS ANGELES-CA,New Loyal NKC,Tab,Sunday,Sunday,overall,1170.028978,36347.47398,2128586.584,0.041847046,1,0.05,1
LOS ANGELES-CA,Existing Non-Loyal NKC,Tab,Sunday,Sunday,overall,2127.807572,36347.47398,2128586.584,0.041847046,0.3,0.05,1
LOS ANGELES-CA,New Non-Loyal NKC,Tab,Sunday,Sunday,overall,7598.648975,36347.47398,2128586.584,0.041847046,0,0.3,1
LOS ANGELES-CA,Existing Non-Loyal KC,Tab,Sunday,Sunday,overall,21004.18015,36347.47398,2128586.584,0.041847046,0,0.05,1
